City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
488,Quelimane,MZ,78.8,broken clouds,-17.8786,36.8883,Hotel Flamingo
490,Buchanan,LR,78.8,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
491,Hambantota,LK,77.02,overcast clouds,6.1241,81.1185,Bungalow 63
497,Itabira,BR,70.3,overcast clouds,-19.6192,-43.2269,Premium Executive Hotel
499,Tessalit,ML,74.77,clear sky,20.1986,1.0114,
500,Impfondo,CG,76.75,few clouds,1.6381,18.0667,Préfecture de la Likouala
501,Yulara,AU,71.6,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
502,Camopi,GF,74.64,heavy intensity rain,3.1655,-52.3158,
503,Pimentel,PE,78.8,clear sky,-6.8367,-79.9342,Casona Del Muelle
504,Pital,CO,79.18,overcast clouds,2.2665,-75.8044,Finca el Rebaño Vida el Uvital
505,Mount Isa,AU,73.4,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
506,Khairagarh,IN,79.95,clear sky,26.95,77.8167,Aqua kalandri R.O.
510,Jalalpur Pirwala,PK,84.06,broken clouds,29.5069,71.2192,Bhatti Easy Paisa Shop
511,Dwarka,IN,78.04,scattered clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
516,Ailigandi,PA,82.04,scattered clouds,9.2333,-78.0167,Akwa Reef Lodge
518,Srandakan,ID,76.42,broken clouds,-7.9386,110.2506,Puri Brata
519,Paulista,BR,78.8,scattered clouds,-7.9408,-34.8731,Hotel Chanceller
528,Banikoara,BJ,83.98,clear sky,11.2985,2.4386,Hôtel de l'UCom CVPC
530,Hosdurga,IN,78.19,overcast clouds,13.7981,76.2861,Manasa tailor
531,Cienfuegos,CU,84.2,clear sky,22.1461,-80.4356,Casa Claumar B2BPay
532,Vanimo,PG,76.66,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
533,Ratnagiri,IN,78.58,broken clouds,16.9833,73.3,Hotel Landmark
534,Morrope,PE,78.8,clear sky,-6.5417,-80.0111,Hipolito santamaria
536,Alofi,NU,84.2,light rain,-19.0595,-169.9187,Taloa Heights
538,Mallapuram,IN,73.45,broken clouds,11.9667,78.25,jayanthi
539,Garwa,IN,75.4,clear sky,24.1833,83.8167,A.PS.D Utsav Garden
547,Japura,ID,73.54,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
551,Paraiso,CR,77.0,few clouds,9.8383,-83.8656,Rinconcito Verde
552,San Cristobal,VE,82.4,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
554,Eyl,SO,77.29,few clouds,7.9803,49.8164,Amiin Hotel
559,California City,US,79.0,clear sky,35.1258,-117.9859,Best Western California City Inn & Suites
562,Wiang Sa,TH,80.01,broken clouds,8.6359,99.3666,ชำนาญอินน์
565,Atar,MR,81.79,overcast clouds,20.5169,-13.0499,Oumou Elghoura
566,Ngerengere,TZ,75.2,few clouds,-6.75,38.1167,
567,Andros Town,BS,82.4,broken clouds,24.7,-77.7667,Hanks place
570,Wewak,PG,77.58,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
572,Galesong,ID,73.4,light rain,-5.3166,119.3661,Sapriadi Appy
575,Ambanja,MG,76.44,overcast clouds,-13.6833,48.45,Hotel Salama and Fast Food
577,Salinopolis,BR,79.07,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
580,Beira,MZ,82.4,light rain,-19.8436,34.8389,Beira Terrace Hotel
581,Tabou,CI,79.02,light rain,4.423,-7.3528,hotêl doufoulougou
584,Conceicao Do Araguaia,BR,78.8,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
586,Waingapu,ID,78.98,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
587,Sao Gabriel Da Cachoeira,BR,80.2,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
588,Villa Carlos Paz,AR,77.0,clear sky,-31.4241,-64.4978,Monte Carlo
589,Micheweni,TZ,82.4,few clouds,-4.9667,39.8333,
590,Jati,PK,77.5,clear sky,24.3539,68.2671,Cafe Lala Rehan Restaurant
592,Robertsport,LR,80.2,broken clouds,6.7533,-11.3686,Kwepunha Retreat
593,Inhambane,MZ,71.98,clear sky,-23.865,35.3833,Oceano
594,Monrovia,LR,78.8,light rain,6.3005,-10.7969,Sunset Inn
596,Odweyne,SO,73.63,scattered clouds,9.4092,45.06399999999999,Eng Hiirey House
597,Tocopilla,CL,70.05,few clouds,-22.092,-70.1979,Hotel Galvarino
598,Keningau,MY,77.0,few clouds,5.3378,116.1602,Sabindo Hotel
599,Vaitape,PF,82.58,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
600,Guider,CM,87.04,clear sky,9.9342,13.9486,Hotel Falaise
604,La Asuncion,VE,78.42,clear sky,11.0333,-63.8628,Colinas de Matasiete
607,Saint-Pierre,RE,77.0,clear sky,-21.3393,55.4781,Lindsey Hôtel
608,Mulege,MX,78.51,clear sky,26.8833,-111.9833,Casa Granada
609,Dekar,BW,73.18,scattered clouds,-21.5333,21.9333,
610,Matadi,CD,76.35,overcast clouds,-5.8167,13.45,Hotel Fortune
615,Saint-Joseph,RE,77.0,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
622,Tucupita,VE,79.72,scattered clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
624,Cap Malheureux,MU,77.0,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
632,Norsup,VU,82.02,clear sky,-16.0667,167.3833,Nabelchel Bungalows
634,Aitape,PG,76.69,overcast clouds,-3.1374,142.3475,
635,Yeppoon,AU,73.4,scattered clouds,-23.1333,150.7333,Villa Mar Colina
636,Nuevitas,CU,86.0,scattered clouds,21.5453,-77.2644,Hotel Caonaba
637,Gold Coast,AU,70.0,clear sky,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
639,Wukari,NG,86.74,scattered clouds,7.85,9.7833,Elimtop
640,Puerto Escondido,MX,87.24,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
643,Magaria,NE,75.04,clear sky,12.9983,8.9099,Chez Honorable Chapiou
647,Huarmey,PE,74.88,overcast clouds,-10.0681,-78.1522,Hotel Miramar
650,Mirpur Sakro,PK,78.8,clear sky,24.5474,67.6277,Ali muhammad’s house
652,Inongo,CD,76.5,overcast clouds,-1.95,18.2667,Hotel Du Lac
653,Maragogi,BR,78.75,light rain,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
654,Atambua,ID,73.13,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
655,San Lazaro,BZ,86.0,scattered clouds,18.0387,-88.6622,
658,Panhala,IN,71.98,few clouds,16.8167,74.1167,Bunglow @ Panhala
660,Cockburn Town,TC,78.8,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
662,Ixtapa,MX,77.0,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
668,Shasta Lake,US,73.99,clear sky,40.6804,-122.3708,Shasta Dam Motel
669,Kesinga,IN,77.47,clear sky,20.2,83.2333,HOTEL JAYASHREE
670,Kikwit,CD,75.25,broken clouds,-5.041,18.8162,Guest L'Amour
672,Obo,CF,78.57,scattered clouds,5.3998,26.4869,
673,Kavieng,PG,83.07,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
674,Marawi,PH,75.0,overcast clouds,7.9986,124.2928,Derogongan Residence
675,Kiunga,PG,71.29,moderate rain,-6.1219,141.2906,Airport Lodge Kiunga
677,Meulaboh,ID,77.16,overcast clouds,4.1363,96.1285,Kost Pria
678,Bundaberg,AU,73.99,broken clouds,-24.85,152.35,Takalvan Motel
681,Tawau,MY,75.2,few clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
685,Camana,PE,73.71,broken clouds,-16.6228,-72.7111,Hostal Morales
688,San Quintin,MX,71.04,clear sky,30.4833,-115.95,Old Mill Hotel
690,Tomohon,ID,77.0,light rain,1.3346,124.8392,Gardenia Country Inn
693,Oranjestad,AW,82.4,scattered clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
695,Omboue,GA,76.86,light rain,-1.5746,9.2618,Hotel Olako
696,Aguas Vermelhas,BR,77.04,clear sky,-15.7472,-41.46,
697,Qiongshan,CN,75.2,clear sky,20.0058,110.3542,Sun City Restaurant
698,Goya,AR,70.39,scattered clouds,-29.14,-59.2626,Apart Costanera
