City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
335,Itacarambi,BR,-15.1022,-44.0919,81.57,31,29,2.73,scattered clouds
336,Roald,NO,62.5833,6.1333,42.8,75,20,14.97,few clouds
337,Billings,US,45.7833,-108.5007,66.99,15,75,21.85,broken clouds
338,Zheleznodorozhnyy,RU,55.7503,38.0042,35.6,80,0,4.47,clear sky
339,Isangel,VU,-19.55,169.2667,78.8,89,40,6.08,scattered clouds
340,Tecoanapa,MX,16.5167,-98.75,85.87,49,0,10.74,clear sky
341,Husavik,IS,66.0449,-17.3389,30.2,64,90,17.27,overcast clouds
342,Hofn,IS,64.2539,-15.2082,30.36,60,53,10.94,broken clouds
343,Daru,PG,-9.0763,143.2092,80.15,88,100,12.46,overcast clouds
344,Kargopol,RU,61.5071,38.9456,30.69,88,99,6.62,overcast clouds
345,Ziyang,CN,29.2497,117.8547,59.5,87,1,3.67,clear sky
